,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,KineticEnergy,Potential,Energy
43,0.86,0.0,2.0,0.0,0.0,0.61348413,0.09597145,-2.55486296,-0.82469149,1.98334752,-1.36168756,-7.87535185,-5.82675113,51.58981816,7.21012307,58.79994123
44,0.88,0.0,2.0,0.0,0.0,0.56426483,0.08077706,-2.36593083,-0.69732476,1.82138729,-1.47520039,-8.32126457,-5.51090514,52.84870503,5.95122799,58.79993302
45,0.9,0.0,2.0,0.0,0.0,0.51885925,0.06797144,-2.1752327,-0.58605388,1.65050375,-1.58155539,-8.76602784,-5.10968113,54.0135909,4.78633282,58.79992372
46,0.92,0.0,2.0,0.0,0.0,0.47719041,0.0572222,-1.99441705,-0.49176856,1.47082817,-1.678975,-9.19830497,-4.61653395,55.07036789,3.7295458,58.79991369
47,0.94,0.0,2.0,0.0,0.0,0.43892379,0.04818367,-1.83751958,-0.41500016,1.28275288,-1.76559174,-9.6032581,-4.02957274,56.00436297,2.79554072,58.79990369
48,0.96,0.0,2.0,0.0,0.0,0.40342833,0.0405072,-1.71989465,-0.35551624,1.08699562,-1.83956625,-9.96338634,-3.35400254,56.80141491,1.99847996,58.79989487
49,0.98,0.0,2.0,0.0,0.0,0.3697689,0.03385486,-1.65614584,-0.31228002,0.88463812,-1.89925857,-10.26031888,-2.60462797,57.44928405,1.35060453,58.79988858
50,1.0,0.0,2.0,0.0,0.0,0.33675031,0.02792192,-1.65716867,-0.28309072,0.67711086,-1.94342353,-10.47807913,-1.80612214,57.93928389,0.86060208,58.79988598
51,1.02,0.0,2.0,0.0,0.0,0.30301957,0.02246344,-1.72748257,-0.26408777,0.46610984,-1.97138421,-10.60665474,-0.9898067,58.26739021,0.5324973,58.79988751
52,1.04,0.0,2.0,0.0,0.0,0.26720878,0.01732502,-1.86407894,-0.25005059,0.25345265,-1.98311754,-10.64407956,-0.1886008,58.43465778,0.36523495,58.79989273
53,1.06,0.0,2.0,0.0,0.0,0.22807766,0.01247041,-2.05750739,-0.23462762,0.04091462,-1.97921923,-10.59628742,0.56917563,58.44682735,0.35307314,58.79990049
54,1.08,0.0,2.0,0.0,0.0,0.1846184,0.00799459,-2.2945022,-0.21104943,-0.16990777,-1.96077339,-10.47473591,1.26359186,58.31301947,0.48688999,58.79990946
55,1.1,0.0,2.0,0.0,0.0,0.13610417,0.00412394,-2.56063847,-0.17309586,-0.37767735,-1.92917299,-10.29339377,1.88353362,58.04424285,0.75567563,58.79991849
56,1.12,0.0,2.0,0.0,0.0,0.08208928,0.0012023,-2.84241619,-0.11540361,-0.58133865,-1.88595071,-10.06615087,2.42566272,57.65194041,1.14798641,58.79992682
57,1.14,0.0,2.0,0.0,0.0,0.02238133,-0.0003329,-3.12816923,-0.03386037,-0.78010018,-1.83265106,-9.80529374,2.89194154,57.14685025,1.65308383,58.79993408
58,1.16,0.0,2.0,0.0,0.0,-0.0429987,2.4e-05,-3.4081832,0.07418087,-0.97339514,-1.77074523,-9.52098233,3.28733278,56.53843845,2.26150169,58.79994015
59,1.18,0.0,2.0,0.0,0.0,-0.11385537,0.00282025,-3.67463051,0.21015771,-1.16083651,-1.70158525,-9.22110977,3.61847713,55.83465883,2.96528622,58.79994505
60,1.2,0.0,2.0,0.0,0.0,-0.18985191,0.00861871,-3.92122668,0.37434751,-1.34217513,-1.62638502,-8.91154706,3.89256334,55.04193755,3.75801135,58.7999489
61,1.22,0.0,2.0,0.0,0.0,-0.27053823,0.01797577,-4.14287573,0.56584657,-1.51726267,-1.54621555,-8.59654862,4.11661049,54.16536587,4.63458598,58.79995185
62,1.24,0.0,2.0,0.0,0.0,-0.35537371,0.03142191,-4.33553039,0.7828628,-1.68602047,-1.46200911,-8.27896247,4.29732188,53.20894645,5.59100759,58.79995404
63,1.26,0.0,2.0,0.0,0.0,-0.44374573,0.04944413,-4.49605142,1.02292771,-1.8484148,-1.37456863,-7.96043032,4.44098241,52.17581756,6.62413804,58.7999556
