,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,KineticEnergy,Potential,Energy
22,0.44,0.0,4.0,0.0,0.0,0.82440538,3.42567865,-0.88898945,-1.34055683,1.78562189,3.1353473,-1.45955777,-3.35415789,2.7878818,3.08822399,-1.45708753,-4.01843678,3.79057924,3.08529539,-1.42687636,-4.0813441,4.79261174,3.08521266,-1.4018201,-4.08374331,5.79397003,3.08521153,-1.38395799,-4.08378451,6.79465025,3.08521153,-1.37467228,-4.08378483,54.36704,255.0254862,309.3925262
23,0.46,0.0,4.0,0.0,0.0,0.80684519,3.40011736,-0.86345515,-1.21134284,1.7553991,3.06873663,-1.56151448,-3.29779138,2.75745596,3.00646022,-1.58761772,-4.15607764,3.76071151,3.00194496,-1.56347715,-4.25437569,4.7632093,3.00179555,-1.54319613,-4.25885724,5.76489862,3.00179316,-1.52878284,-4.25894869,6.76575075,3.00179315,-1.52130401,-4.25894952,58.65625177,250.17237611,308.82862788
24,0.48,0.0,4.0,0.0,0.0,0.7899986,3.37735048,-0.81900542,-1.06437283,1.72324795,3.00382736,-1.65169909,-3.18543379,2.72432704,2.92212922,-1.72687291,-4.27460537,3.72793998,2.91515845,-1.71617236,-4.42487681,4.73074319,2.91488585,-1.70664429,-4.43304049,5.73264995,2.9148807,-1.69986339,-4.43323835,6.73361501,2.91488065,-1.69632652,-4.43324046,63.04832317,245.17305296,308.22137613
25,0.5,0.0,4.0,0.0,0.0,0.77414496,3.35752308,-0.76621029,-0.92106358,1.6894383,2.94161239,-1.72707852,-3.03169874,2.68835482,2.83563975,-1.87134695,-4.37183552,3.6920197,2.82499354,-1.87690631,-4.59214496,4.69488485,2.82450254,-1.88017078,-4.60625446,5.69683326,2.82449159,-1.88277654,-4.60665694,6.69781967,2.82449147,-1.88421524,-4.60666201,67.56262577,240.0070082,307.56963397
26,0.52,0.0,4.0,0.0,0.0,0.75932859,3.34035239,-0.71709147,-0.8015866,1.65427863,2.88269565,-1.78669267,-2.85975616,2.64947305,2.74741339,-2.0172754,-4.44874887,3.65287709,2.73152076,-2.03711031,-4.75564304,4.65556795,2.73066545,-2.05045571,-4.77845369,5.65738411,2.73064322,-2.0604363,-4.7792075,6.65829886,2.73064296,-2.06578158,-4.77921849,72.19327805,234.67890288,306.87218093
27,0.54,0.0,4.0,0.0,0.0,0.74538297,3.3252179,-0.68012437,-0.71866893,1.618081,2.82720093,-1.83105767,-2.6928459,2.6076854,2.65782322,-2.16149161,-4.50894633,3.6105938,2.63481798,-2.19015961,-4.91518234,4.61296922,2.63339528,-2.20706932,-4.94960079,5.61455198,2.63335294,-2.21947493,-4.95089282,6.61534294,2.63335235,-2.22603455,-4.95091419,76.90779886,229.22019703,306.12799589
28,0.56,0.0,4.0,0.0,0.0,0.73202295,3.31135169,-0.65861744,-0.67417243,1.58114043,2.77486245,-1.861098,-2.54541332,2.56305238,2.5671648,-2.30151946,-4.55595513,3.56535145,2.53496431,-2.3328948,-5.07075594,4.56741669,2.53271334,-2.34585732,-5.11966802,5.56877307,2.532638,-2.35527992,-5.12171569,6.56944422,2.53263684,-2.36025512,-5.1217534,81.66815379,223.66827485,305.33642864
29,0.58,0.0,4.0,0.0,0.0,0.71894948,3.29804641,-0.65089972,-0.66076725,1.54374403,2.72526091,-1.87637662,-2.41801929,2.51567084,2.47569864,-2.43640411,-4.58903204,3.51734594,2.43204262,-2.4673526,-5.22183801,4.51924007,2.4286417,-2.47081761,-5.28859812,5.52047248,2.42851564,-2.47330589,-5.29167804,6.5210782,2.42851349,-2.47464872,-5.29174036,86.44915101,218.04800103,304.49715204
30,0.6,0.0,4.0,0.0,0.0,0.70592277,3.28480197,-0.65338513,-0.66572184,1.50620723,2.67810001,-1.87474874,-2.29849075,2.46563648,2.38377207,-2.56707605,-4.59995493,3.46667885,2.32615971,-2.60047835,-5.36640519,4.46861944,2.32120452,-2.59239184,-5.45621921,5.46988643,2.32100307,-2.58643269,-5.46077817,6.47050899,2.32099932,-2.58337582,-5.46087925,91.236843,212.3731841,303.6100271
31,0.62,0.0,4.0,0.0,0.0,0.69276526,3.2713912,-0.66374949,-0.67527916,1.46889113,2.63340224,-1.85392914,-2.16865658,2.41301946,2.29197237,-2.69485946,-4.57332342,3.41329047,2.21748407,-2.74100923,-5.50024238,4.41549397,2.21043145,-2.72342011,-5.62213918,5.41695572,2.21011761,-2.71034855,-5.6290061,6.41767937,2.21011124,-2.70354993,-5.62917414,96.01699551,206.65805533,302.67505085
