,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,xPosition10,yPosition10,xVelocity10,yVelocity10,KineticEnergy,Potential,Energy
20,0.4,-5.0,0.0,0.0,0.0,-4.01818202,-0.55702772,-0.19571879,-1.93483569,-3.00366105,-0.73275197,-0.06398844,-3.37751527,-2.00033993,-0.75665938,-0.00778892,-3.69635132,-1.00002096,-0.75842076,-0.00058767,-3.72883562,0.0,-0.75849905,0.0,-3.73066821,1.00002096,-0.75842076,0.00058767,-3.72883562,2.00033993,-0.75665938,0.00778892,-3.69635132,3.00366105,-0.73275197,0.06398844,-3.37751527,4.01818202,-0.55702772,0.19571879,-1.93483569,5.0,0.0,0.0,0.0,49.71983077,9.08578048,58.80561125
21,0.42,-5.0,0.0,0.0,0.0,-4.02233202,-0.59535407,-0.21904674,-1.89685506,-3.00513382,-0.80125783,-0.08394459,-3.47171319,-2.00053042,-0.83222834,-0.01146074,-3.86081866,-1.00003615,-0.83474926,-0.00095825,-3.90476129,0.0,-0.83487269,0.0,-3.90749515,1.00003615,-0.83474926,0.00095825,-3.90476129,2.00053042,-0.83222834,0.01146074,-3.86081866,3.00513382,-0.80125783,0.08394459,-3.47171319,4.02233202,-0.59535407,0.21904674,-1.89685506,5.0,0.0,0.0,0.0,53.49335274,4.79720014,58.29055288
22,0.44,-5.0,0.0,0.0,0.0,-4.02692807,-0.63284185,-0.24016243,-1.85127219,-3.00704446,-0.87151224,-0.10781329,-3.55224416,-2.0008072,-0.91104414,-0.01647202,-4.02097124,-1.00006055,-0.91458311,-0.00152014,-4.0793956,0.0,-0.91477309,0.0,-4.08338492,1.00006055,-0.91458311,0.00152014,-4.0793956,2.0008072,-0.91104414,0.01647202,-4.02097124,3.00704446,-0.87151224,0.10781329,-3.55224416,4.02692807,-0.63284185,0.24016243,-1.85127219,5.0,0.0,0.0,0.0,57.261917,0.47585681,57.73777381
23,0.46,-5.0,0.0,0.0,0.0,-4.0319162,-0.66935768,-0.2581051,-1.79997364,-3.00947266,-0.94323341,-0.13571427,-3.61827719,-2.00120039,-0.99301404,-0.02316475,-4.17615141,-1.00009873,-0.99789527,-0.00235123,-4.25261219,0.0,-0.9981813,0.0,-4.25831695,1.00009873,-0.99789527,0.00235123,-4.25261219,2.00120039,-0.99301404,0.02316475,-4.17615141,3.00947266,-0.94323341,0.13571427,-3.61827719,4.0319162,-0.66935768,0.2581051,-1.79997364,5.0,0.0,0.0,0.0,61.00899635,-3.86159443,57.14740192
24,0.48,-5.0,0.0,0.0,0.0,-4.03722416,-0.70480699,-0.27201894,-1.74494591,-3.01249884,-1.01612409,-0.16759148,-3.66910387,-2.00174739,-1.07803143,-0.03192252,-4.32563019,-1.00015705,-1.08465587,-0.00355253,-4.42425402,0.0,-1.08507791,0.0,-4.43226157,1.00015705,-1.08465587,0.00355253,-4.42425402,2.00174739,-1.07803143,0.03192252,-4.32563019,3.01249884,-1.01612409,0.16759148,-3.66910387,4.03722416,-0.70480699,0.27201894,-1.74494591,5.0,0.0,0.0,0.0,64.71784379,-8.19811238,56.51973141
25,0.5,-5.0,0.0,0.0,0.0,-4.04276418,-0.73913545,-0.28121516,-1.68821167,-3.01620021,-1.08987445,-0.20317936,-3.70418003,-2.00249363,-1.16597441,-0.04316258,-4.46860781,-1.00024412,-1.17483157,-0.00525207,-4.59412881,0.0,-1.17544277,0.0,-4.60517748,1.00024412,-1.17483157,0.00525207,-4.59412881,2.00249363,-1.16597441,0.04316258,-4.46860781,3.01620021,-1.08987445,0.20317936,-3.70418003,4.04276418,-0.73913545,0.28121516,-1.68821167,5.0,0.0,0.0,0.0,68.37156787,-12.51634313,55.85522474
26,0.52,-5.0,0.0,0.0,0.0,-4.04843682,-0.7723289,-0.28522578,-1.63175701,-3.0206464,-1.16416577,-0.24197834,-3.72317211,-2.0034931,-1.25670441,-0.05732353,-4.60421579,-1.00037146,-1.26838477,-0.00760858,-4.76200419,0.0,-1.26925478,0.0,-4.77700877,1.00037146,-1.26838477,0.00760858,-4.76200419,2.0034931,-1.25670441,0.05732353,-4.60421579,3.0206464,-1.16416577,0.24197834,-3.72317211,4.04843682,-0.7723289,0.28522578,-1.63175701,5.0,0.0,0.0,0.0,71.95328591,-16.79877255,55.15451336
27,0.54,-5.0,0.0,0.0,0.0,-4.05413587,-0.80441192,-0.28384433,-1.57745347,-3.02589459,-1.2386752,-0.28324363,-3.72600541,-2.00480866,-1.35006483,-0.07484829,-4.73152104,-1.00055407,-1.3652728,-0.0108146,-4.92760261,0.0,-1.36649154,0.0,-4.94768145,1.00055407,-1.3652728,0.0108146,-4.92760261,2.00480866,-1.35006483,0.07484829,-4.73152104,3.02589459,-1.2386752,0.28324363,-3.72600541,4.05413587,-0.80441192,0.28384433,-1.57745347,5.0,0.0,0.0,0.0,75.4463243,-21.02792755,54.41839674
28,0.56,-5.0,0.0,0.0,0.0,-4.05975378,-0.83544468,-0.27714962,-1.52697995,-3.03198463,-1.31308137,-0.32599058,-3.71291073,-2.00651186,-1.44587981,-0.09616197,-4.8495328,-1.00081115,-1.46544693,-0.01509874,-5.09059609,0.0,-1.46712896,0.0,-5.11709944,1.00081115,-1.46544693,0.01509874,-5.09059609,2.00651186,-1.44587981,0.09616197,-4.8495328,3.03198463,-1.31308137,0.32599058,-3.71291073,4.05975378,-0.83544468,0.27714962,-1.52697995,5.0,0.0,0.0,0.0,78.83442108,-25.18658184,53.64783924
29,0.58,-5.0,0.0,0.0,0.0,-4.06518752,-0.86551842,-0.26551001,-1.48175014,-3.03893449,-1.38707091,-0.36901873,-3.68446454,-2.00868239,-1.5439532,-0.12164503,-4.95721327,-1.00116687,-1.56885133,-0.02072651,-5.25060069,0.0,-1.57114078,0.0,-5.2851399,1.00116687,-1.56885133,0.02072651,-5.25060069,2.00868239,-1.5439532,0.12164503,-4.95721327,3.03893449,-1.38707091,0.36901873,-3.68446454,4.06518752,-0.86551842,0.26551001,-1.48175014,5.0,0.0,0.0,0.0,82.10188279,-29.25791757,52.84396522
30,0.6,-5.0,0.0,0.0,0.0,-4.07034419,-0.89474945,-0.24956736,-1.44285108,-3.0467363,-1.46034569,-0.41095521,-3.64161772,-2.01140683,-1.64406775,-0.15160219,-5.05349303,-1.00165104,-1.67542188,-0.02799938,-5.40717087,0.0,-1.67849795,0.0,-5.45164806,1.00165104,-1.67542188,0.02799938,-5.40717087,2.01140683,-1.64406775,0.15160219,-5.05349303,3.0467363,-1.46034569,0.41095521,-3.64161772,4.07034419,-0.89474945,0.24956736,-1.44285108,5.0,0.0,0.0,0.0,85.23365603,-33.22560314,52.00805289
31,0.62,-5.0,0.0,0.0,0.0,-4.07514617,-0.92327219,-0.23020145,-1.41099809,-3.05535353,-1.53263047,-0.45031623,-3.58570792,-2.0147768,-1.74598467,-0.1862281,-5.13729246,-1.00229986,-1.7850849,-0.03725163,-5.55979386,0.0,-1.78916798,0.0,-5.61643129,1.00229986,-1.7850849,0.03725163,-5.55979386,2.0147768,-1.74598467,0.1862281,-5.13729246,3.05535353,-1.53263047,0.45031623,-3.58570792,4.07514617,-0.92327219,0.23020145,-1.41099809,5.0,0.0,0.0,0.0,88.21529467,-37.07376664,51.14152804
32,0.64,-5.0,0.0,0.0,0.0,-4.07953539,-0.95123138,-0.20847743,-1.38651008,-3.06471947,-1.60368055,-0.48558381,-3.51845129,-2.01888643,-1.84944371,-0.22557138,-5.20755007,-1.00315648,-1.89775572,-0.04884439,-5.70788406,0.0,-1.90311408,0.0,-5.77925248,1.00315648,-1.89775572,0.04884439,-5.70788406,2.01888643,-1.84944371,0.22557138,-5.20755007,3.06471947,-1.60368055,0.48558381,-3.51845129,4.07953539,-0.95123138,0.20847743,-1.38651008,5.0,0.0,0.0,0.0,91.03283021,-40.78687176,50.24595844
33,0.66,-5.0,0.0,0.0,0.0,-4.08347641,-0.97877419,-0.18558016,-1.36930765,-3.07473746,-1.67328913,-0.51529293,-3.44191076,-2.02382906,-1.95416387,-0.26949925,-5.26325869,-1.00427147,-2.01333719,-0.06315664,-5.85077784,0.0,-2.02029423,0.0,-5.93982273,1.00427147,-2.01333719,0.06315664,-5.85077784,2.02382906,-1.95416387,0.26949925,-5.26325869,3.07473746,-1.67328913,0.51529293,-3.44191076,4.08347641,-0.97877419,0.18558016,-1.36930765,5.0,0.0,0.0,0.0,93.67257888,-44.34952883,49.32305005
