,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,KineticEnergy,Potential,Energy
29,0.58,1.20733726,3.07101714,0.97168883,-5.02472804,3.12133176,-1.1632866,-4.68767062,-0.59202037,-1.53918484,-3.07235179,-2.23800455,5.06459809,-3.11216373,1.54077635,4.76143183,2.26033006,5.32267955,4.6238449,1.19255451,-1.70817974,55.64801136,5.2451384,60.89314976
30,0.6,1.22648898,2.97082118,0.94513917,-4.99238805,3.02816591,-1.17437352,-4.62631555,-0.51794287,-1.58388836,-2.97120746,-2.23325903,5.04773987,-3.01741709,1.58598444,4.71085191,2.26158864,5.34665057,4.58877536,1.2035835,-1.79899759,54.97366259,5.91949081,60.8931534
31,0.62,1.24520937,2.87141819,0.92859191,-4.94553034,2.93638028,-1.18405686,-4.54975422,-0.45176599,-1.62855257,-2.87052338,-2.23413214,5.01867618,-2.92382167,1.63128576,4.64643796,2.26974326,5.3707846,4.5518763,1.20885649,-1.8911231,54.09108351,6.80207421,60.89315771
32,0.64,1.26370026,2.7730922,0.92220729,-4.8848059,2.84627239,-1.19250072,-4.45866303,-0.39409326,-1.67329326,-2.77053718,-2.24096025,4.97806987,-2.83164618,1.67682354,4.56900294,2.28532084,5.3949668,4.51312216,1.20841306,-1.98449155,53.02340554,7.8697571,60.89316263
33,0.66,1.2821656,2.67611314,0.92603553,-4.8109738,2.75812524,-1.1998809,-4.35381806,-0.3454885,-1.71823254,-2.67147246,-2.2540361,4.92665852,-2.74114209,1.72275125,4.4794606,2.30881496,5.41908379,4.47248897,1.20235802,-2.07901118,51.79744686,9.0957212,60.89316807
34,0.68,1.3008092,2.58073473,0.94001362,-4.7248929,2.67220533,-1.20638402,-4.23609425,-0.30646993,-1.76349787,-2.57353733,-2.27360036,4.86525066,-2.65254157,1.76923178,4.37882158,2.34067345,5.44302491,4.42995486,1.1908594,-2.17456128,50.44313643,10.45003747,60.8931739
35,0.7,1.31983248,2.4871926,0.96396322,-4.62751017,2.58876067,-1.21220656,-4.10646373,-0.27750382,-1.80922091,-2.4769231,-2.29983285,4.79472098,-2.56605571,1.81643641,4.26818766,2.38128439,5.46668347,4.38550066,1.17414571,-2.27099139,48.99283497,11.90034503,60.89318
36,0.72,1.33943211,2.3957027,0.99758992,-4.51984578,2.50801889,-1.21755375,-3.96599291,-0.25899777,-1.85553627,-2.38180295,-2.33284367,4.71600419,-2.48187267,1.86454346,4.14874384,2.43096084,5.48995794,4.33911054,1.15250283,-2.36812148,47.48056722,13.412619,60.89318622
37,0.74,1.35979773,2.30646,1.04048422,-4.40297515,2.43018537,-1.22263832,-3.81583814,-0.25129351,-1.90257997,-2.28833083,-2.37266437,4.63008747,-2.40015619,1.91373662,4.02174806,2.48992439,5.51275305,4.29077253,1.12627023,-2.4657432,45.94118401,14.95200841,60.89319243
38,0.76,1.38110966,2.21963754,1.09212472,-4.27800854,2.35544153,-1.22767913,-3.65723988,-0.25465955,-1.95048779,-2.19664048,-2.41923969,4.5380016,-2.32104422,1.96420297,3.88851794,2.55828842,5.53498081,4.2404791,1.09583691,-2.56362192,44.40947755,16.4837209,60.89319845
39,0.78,1.40353673,2.13538602,1.15188375,-4.14606898,2.28394318,-1.23289959,-3.4915151,-0.26928369,-1.9993935,-2.10684472,-2.47242018,4.44081056,-2.24464788,2.01613063,3.75041475,2.6360417,5.55656147,4.18822765,1.06163678,-2.66149959,42.91927748,17.97392666,60.89320414
40,0.8,1.4272342,2.05383374,1.21903576,-4.00826951,2.21581913,-1.23852602,-3.32004776,-0.29526562,-2.04942688,-2.01903479,-2.53195602,4.33959998,-2.17105082,2.06970611,3.60882424,2.72303337,5.57742437,4.13402097,1.02414378,-2.75909822,41.50255877,19.39065058,60.89320934
41,0.82,1.45234194,1.97508701,1.2927685,-3.86569103,2.1511699,-1.2447858,-3.14427733,-0.33260994,-2.10071167,-1.93328017,-2.59749268,4.23546442,-2.10030887,2.12511142,3.46513486,2.81896047,5.5975087,4.07786753,0.98386665,-2.85612391,40.18859452,20.70461942,60.89321394
42,0.84,1.47898282,1.89923102,1.37219653,-3.7193621,2.0900668,-1.25190536,-2.96568521,-0.38121979,-2.15336345,-1.84962842,-2.66856854,4.12949386,-2.03245028,2.1825209,3.32071378,2.92335924,5.6167641,4.01978185,0.94134344,-2.95227121,39.00318729,21.89003051,60.8932178
43,0.86,1.50726141,1.82633107,1.45637673,-3.57024177,2.03255123,-1.26010818,-2.78577917,-0.44089145,-2.20748749,-1.76810548,-2.74461506,4.02275982,-1.96747638,2.24209798,3.17688164,3.0356012,5.63515123,3.9597846,0.89713586,-3.04722779,37.96801015,22.9252107,60.89322085
44,0.88,1.53726295,1.75643407,1.54432475,-3.41920678,1.97863429,-1.26961251,-2.60607595,-0.51131032,-2.26317665,-1.68871618,-2.8249595,3.91630144,-1.90536277,2.30399188,3.03488723,3.1548949,5.65264218,3.89790275,0.85182348,-3.14067925,37.10008447,23.79313855,60.89322301
45,0.9,1.56905275,1.68957028,1.63503132,-3.26704343,1.92829682,-1.28062924,-2.42808219,-0.59204856,-2.32050934,-1.61144497,-2.90883044,3.8111121,-1.84606098,2.36833441,2.89588343,3.2802938,5.66922076,3.83416952,0.80599787,-3.23231392,36.41141442,24.48180984,60.89322426
46,0.92,1.60267577,1.6257552,1.72747739,-3.11444465,1.8814898,-1.29335951,-2.25327415,-0.68256479,-2.37954761,-1.53625702,-2.99536584,3.70812701,-1.78950063,2.43523703,2.76090578,3.41071011,5.68488266,3.7686243,0.76025683,-3.32182769,35.90878951,24.98443507,60.89322458
47,0.94,1.63815665,1.56499137,1.82064693,-2.96201163,1.83813517,-1.30799253,-2.08307686,-0.78220609,-2.44033545,-1.46309946,-3.0836237,3.60821217,-1.73559195,2.50478816,2.63085505,3.54493424,5.69963557,3.70131246,0.71519858,-3.40892868,35.59375735,25.29946667,60.89322401
48,0.96,1.67549979,1.50727019,1.91353674,-2.81025931,1.79812705,-1.3247034,-1.91884305,-0.89021255,-2.50289731,-1.39190286,-3.17259471,3.51215512,-1.68422862,2.57705104,2.50648476,3.68165848,5.71349909,3.63228503,0.67141626,-3.49334174,35.46275968,25.43046292,60.8932226
49,0.98,1.71468971,1.45257356,2.00516286,-2.65962457,1.76133339,-1.34365097,-1.76183303,-1.00572432,-2.56723692,-1.32258291,-3.26121656,3.42065769,-1.63529077,2.65206197,2.38839417,3.81950395,5.72650459,3.56159836,0.62949256,-3.57481274,35.5074173,25.38580312,60.89322042
50,1.0,1.7556915,1.40087532,2.09456374,-2.51047575,1.72759802,-1.36497598,-1.61319589,-1.12779127,-2.63333634,-1.25504215,-3.34838942,3.33433089,-1.58864811,2.7298292,2.27702696,3.95704882,5.73869493,3.48931362,0.5899946,-3.65311269,35.71494357,25.17827398,60.89321755
51,1.02,1.79845122,1.35214258,2.18080062,-2.36312225,1.69674305,-1.38879938,-1.47395316,-1.25538483,-2.7011554,-1.18917183,-3.4329919,3.25369196,-1.544163,2.81033236,2.17267525,4.09285665,5.75012414,3.41549628,0.55346919,-3.72804153,36.06866345,24.82455067,60.89321412
52,1.04,1.84289638,1.30633676,2.26295605,-2.21782318,1.66857153,-1.41522087,-1.34498542,-1.38741173,-2.77063143,-1.12485382,-3.51389711,3.17916343,-1.50169342,2.89352243,2.07548811,4.22550327,5.76085694,3.34021549,0.52043836,-3.79943179,36.54861335,24.34459688,60.89321022
53,1.06,1.88893634,1.26341454,2.34013164,-2.07479428,1.64287041,-1.44431774,-1.22702253,-1.52272905,-2.84167927,-1.06196245,-3.58998819,3.11107411,-1.46109569,2.97932223,1.98548383,4.35360121,5.7709682,3.26354342,0.49139525,-3.86715199,37.13219803,23.76100796,60.89320599
54,1.08,1.93646266,1.2233287,2.41144579,-1.93421279,1.6194136,-1.47614409,-1.12063779,-1.66015989,-2.91419167,-1.00036643,-3.66017304,3.04966154,-1.42222693,3.06762738,1.90256464,4.47582098,5.78054234,3.18555444,0.4668004,-3.93110984,37.79488241,23.09831913,60.89320154
55,1.1,1.98534943,1.18602881,2.47603263,-1.79622028,1.59796511,-1.51073025,-1.02624617,-1.7985091,-2.9880399,-0.93993057,-3.7233978,2.99507587,-1.38494728,3.15830762,1.82653305,4.59090879,5.78967263,3.10632439,0.44707829,-3.99125527,38.51089793,22.38229905,60.89319698
56,1.12,2.03545357,1.15146195,2.5330425,-1.66092359,1.57828224,-1.54808259,-0.9441064,-1.93657836,-3.06307461,-0.88051753,-3.77865896,2.94738466,-1.34912166,3.25120854,1.75710854,4.69770066,5.79846045,3.02592963,0.43261432,-4.04758337,39.2539461,21.63924635,60.89319245
57,1.14,2.08661521,1.11957345,2.58164445,-1.52839439,1.56011863,-1.58818362,-0.87432663,-2.07318002,-3.13912701,-0.82198939,-3.82501392,2.90657836,-1.3146213,3.34615339,1.69394411,4.7951331,5.80701446,2.94444616,0.42375199,-4.10013705,39.9978834,20.89530464,60.89318805
58,1.16,2.13865806,1.09030753,2.62103086,-1.39866781,1.54322718,-1.63099228,-0.81687305,-2.20714939,-3.21601012,-0.76420913,-3.86158994,2.87257626,-1.2813249,3.44294524,1.63664179,4.88225059,5.81544978,2.86194864,0.42079033,-4.14900966,40.71737425,20.17580962,60.89318387
59,1.18,2.19138998,1.06360811,2.65042384,-1.27174047,1.52736281,-1.67644455,-0.77158077,-2.33735517,-3.29352027,-0.70704204,-3.88759158,2.84523267,-1.24911953,3.54136919,1.58476689,4.9582104,5.82388701,2.7785093,0.42398162,-4.19434744,41.38850049,19.50467954,60.89318002
60,1.2,2.24460363,1.03941958,2.66908323,-1.14756848,1.51228494,-1.7244542,-0.73816633,-2.46270795,-3.37143871,-0.6503569,-3.90230653,2.82434306,-1.21790118,3.6411946,1.5378606,5.02228512,5.83245132,2.69419692,0.43352903,-4.23635175,41.98931763,18.90385895,60.89317658
61,1.22,2.29807731,1.01768762,2.6763158,-1.0260655,1.49775973,-1.77491367,-0.716241,-2.5821669,-3.4495333,-0.5940271,-3.90511016,2.80965017,-1.1875752,3.74217746,1.4954509,5.0738633,5.84127146,2.60907569,0.44958447,-4.27528107,42.5003499,18.39282371,60.89317362
62,1.24,2.35157602,0.99836007,2.67148515,-0.90710119,1.48356207,-1.8276951,-0.70532442,-2.6947447,-3.52756033,-0.53793169,-3.89546869,2.8008499,-1.15805641,3.8440627,1.45706176,5.11244871,5.85047865,2.52320403,0.47224621,-4.31145272,42.9050177,17.98815349,60.89317119
63,1.26,2.40485269,0.98138784,2.65402211,-0.79050013,1.46947725,-1.8826515,-0.70485793,-2.79951116,-3.60526634,-0.48195621,-3.87294124,2.79759694,-1.12926914,3.94658644,1.4222207,5.13765847,5.86020553,2.43663342,0.50155636,-4.34524412,43.18999259,17.70317676,60.89316935
64,1.28,2.45764962,0.96672581,2.62343521,-0.67604129,1.4553024,-1.9396178,-0.71421726,-2.8955957,-3.68238996,-0.42599346,-3.83718085,2.79951012,-1.10114707,4.04947826,1.39046491,5.14922032,5.87058501,2.34940719,0.53749798,-4.37709344,43.34547616,17.54769196,60.89316812
65,1.3,2.50970012,0.95433371,2.57932125,-0.56345832,1.44084772,-1.99841219,-0.73272434,-2.98218904,-3.75866387,-0.36994418,-3.78793463,2.80617751,-1.07363301,4.15246337,1.36134594,5.1469694,5.88174904,2.26155929,0.57999177,-4.40749956,43.36540018,17.52776734,60.89316753
66,1.32,2.56073046,0.94417706,2.52137572,-0.45244068,1.42593738,-2.05883727,-0.7596581,-3.05854426,-3.83381659,-0.31371765,-3.72504306,2.81716117,-1.04667856,4.25526475,1.33443333,5.13084459,5.8938273,2.17311311,0.6288921,-4.43702082,43.24754597,17.64562161,60.89316758
67,1.34,2.61046185,0.93622801,2.44940315,-0.3426359,1.41041037,-2.12068132,-0.79426413,-3.12397769,-3.90757438,-0.25723208,-3.64843869,2.8320017,-1.02024373,4.35760513,1.30931724,5.10088449,5.9069459,2.08408027,0.68398243,-4.4662726,42.99358139,17.89958688,60.89316826
68,1.36,2.65861277,0.93046615,2.36332728,-0.23365342,1.39412098,-2.18371961,-0.8357633,-3.17786952,-3.97966307,-0.2004151,-3.55814418,2.8502225,-0.99429651,4.459209,1.28561021,5.05722337,5.92122584,1.99445956,0.74497,-4.49592293,42.60901408,18.28415548,60.89316956
69,1.38,2.70490147,0.92687921,2.26320114,-0.12507016,1.37693929,-2.24771564,-0.8833594,-3.21966447,-4.04980982,-0.14320396,-3.45426988,2.87133387,-0.96881238,4.55980443,1.26294838,5.00008691,5.93678144,1.90423596,0.81147976,-4.52668615,42.10305913,18.79011231,60.89317144
70,1.4,2.74904863,0.92546366,2.14921679,-0.0164385,1.35875142,-2.31242247,-0.93624582,-3.24887246,-4.11774484,-0.08554584,-3.33701089,2.89483686,-0.94377389,4.65912492,1.24099207,4.92978788,5.95371869,1.81337972,0.88304785,-4.55931378,41.48841955,19.40475429,60.89317384
71,1.42,2.79078022,0.92622506,2.02171454,0.092703,1.33945967,-2.377584,-0.99361157,-3.26506939,-4.18320307,-0.02739794,-3.20664386,2.920227,-0.91917011,4.75691103,1.2194261,4.84672175,5.9721333,1.72184585,0.95911479,-4.59458236,40.78097809,20.11219861,60.89317669
72,1.44,2.82983058,0.92917824,1.88119126,0.20281577,1.31898256,-2.44293633,-1.05464645,-3.26789795,-4.24592577,0.03127242,-3.06352334,2.94699782,-0.89499619,4.85291203,1.19795971,4.75136231,5.99210882,1.62957364,1.03901882,-4.63327796,39.99939914,20.89378079,60.89317993
73,1.46,2.86594563,0.93434711,1.72830708,0.31434394,1.29725476,-2.50820908,-1.11854586,-3.25706853,-4.30566203,0.0904878,-2.90807787,2.97464433,-0.87125284,4.9468874,1.17632641,4.64425709,6.01371447,1.53648677,1.12199024,-4.67617682,39.16464149,21.72854195,60.89318344
74,1.48,2.89888613,0.94176413,1.56388984,0.42769367,1.27422696,-2.57312676,-1.18451499,-3.23236013,-4.36217022,0.15026069,-2.74080584,3.00266623,-0.84794586,5.03860829,1.15428366,4.52602282,6.03700299,1.44249366,1.20714733,-4.7240226,38.2993849,22.59380223,60.89318713
75,1.5,2.92843112,0.95146928,1.38893618,0.54320947,1.2498656,-2.63741016,-1.25177276,-3.19362118,-4.41521935,0.21059367,-2.56227108,3.03057116,-0.82508567,5.12785882,1.13161257,4.39734071,6.06200831,1.34748839,1.29349509,-4.77750016,37.42737789,23.46581297,60.89319086
76,1.52,2.95438121,0.96350864,1.20460839,0.66114817,1.22415257,-2.70077775,-1.31955535,-3.14077034,-4.46459031,0.27147956,-2.37309828,3.0578777,-0.80268684,5.21443735,1.10811757,4.25895151,6.08874338,1.2513522,1.37992768,-4.83720704,36.5727197,24.32047481,60.89319451
77,1.54,2.97656186,0.9779323,1.01222605,0.78165208,1.19708484,-2.76294705,-1.38711961,-3.07379717,-4.51007706,0.33290168,-2.17396824,3.08411829,-0.7807676,5.29815761,1.0836262,4.11165054,6.11719796,1.15395546,1.46523559,-4.90362375,35.75909604,25.1341019,60.89319794
78,1.56,2.99482638,0.99479183,0.81325187,0.90472272,1.16867402,-2.82363611,-1.45374613,-2.99276252,-4.55148768,0.3948342,-1.96561292,3.10884206,-0.75934942,5.37884972,1.057989,3.95628232,6.14733669,1.05516037,1.54811818,-4.97708459,35.00899584,25.88420518,60.89320102
79,1.58,3.00905862,1.01413724,0.60927142,1.03019763,1.13894584,-2.8825649,-1.51874228,-2.89779889,-4.58864539,0.45724241,-1.74881044,3.13161745,-0.73845651,5.45636115,1.03107942,3.79373505,6.17909743,0.95482411,1.62720189,-5.05775124,34.3429426,26.55026102,60.89320363
80,1.6,3.01917512,1.03601347,0.40196717,1.15773203,1.10793959,-2.93945678,-1.58144501,-2.7891104,-4.62138937,0.52008321,-1.5243799,3.15203472,-0.71811539,5.53055753,1.00279396,3.62493479,6.21239005,0.85280257,1.70106378,-5.14559113,33.7787786,27.11442706,60.89320566
81,1.62,3.02512683,1.06045668,0.19308794,1.28678762,1.0757075,-2.99403987,-1.64122351,-2.66697263,-4.64957554,0.58330554,-1.29317614,3.16970832,-0.69835444,5.60132332,0.97305236,3.45083932,6.24709565,0.74895432,1.76825935,-5.24036262,33.33104136,27.56216568,60.89320703
82,1.64,3.02690001,1.08749025,-0.01558495,1.41662995,1.04231407,-3.04604853,-1.6974817,-2.53173217,-4.67307725,0.6468509,-1.05608443,3.18427904,-0.67920337,5.66856242,0.94179775,3.27243175,6.28306654,0.64314496,1.82735334,-5.34160858,33.01046877,27.88273893,60.8932077
83,1.66,3.02451664,1.117121,-0.2222725,1.54633503,1.00783537,-3.09522478,-1.74966064,-2.38380585,-4.69178581,0.71065386,-0.81401512,3.19541601,-0.66069281,5.73219858,0.90899703,3.09071389,6.32012662,0.53525134,1.87695123,-5.44865909,32.82366184,28.06954579,60.89320763
84,1.68,3.01803392,1.14933548,-0.42523201,1.67480522,0.97235824,-3.14131963,-1.79724062,-2.22367984,-4.70561094,0.7746427,-0.56789823,3.20281848,-0.64285383,5.7921757,0.87464105,2.9066993,6.35807261,0.42516575,1.91572981,-5.56064316,32.77292308,28.12028377,60.89320684
85,1.7,3.00754331,1.18409673,-0.62278817,1.80079329,0.93597952,-3.18409451,-1.83974315,-2.05190841,-4.7144811,0.83873997,-0.31867803,3.20621736,-0.62571742,5.84845805,0.83874482,2.72140629,6.39667569,0.31279976,1.94246453,-5.67650853,32.85627629,28.03692908,60.89320537
86,1.72,2.99316887,1.22134164,-0.81335973,1.92293303,0.89880518,-3.22332263,-1.87673267,-1.86911236,-4.71834376,0.90286319,-0.06730766,3.2053766,-0.60931403,5.90103021,0.80134758,2.53585073,6.43568374,0.1980876,1.95605249,-5.79504799,33.06766048,27.8255428,60.89320328
87,1.74,2.97506515,1.26097883,-0.99548091,2.03977436,0.86094948,-3.25879024,-1.90781809,-1.67597735,-4.71716547,0.96692549,0.18525628,3.20009425,-0.59367308,5.94989703,0.76251272,2.35103887,6.47482393,0.08098889,1.95553,-5.91493014,33.39728011,27.49592055,60.89320065
88,1.76,2.95341473,1.30288742,-1.16781702,2.1498206,0.82253403,-3.29029794,-1.93265396,-1.47325173,-4.71093192,1.03083631,0.43805904,3.1902033,-0.5788225,5.9950833,0.72232753,2.16796026,6.51380566,-0.03850909,1.94008442,-6.03473242,33.83208588,27.06111173,60.89319761
