,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
39,0.78,2.0545914,2.13501466,2.78671141,-4.40492952,2.13501466,-2.0545914,-4.40492952,-2.78671141,-2.0545914,-2.13501466,-2.78671141,4.40492952,-2.13501466,2.0545914,4.40492952,2.78671141,54.33832902,6.55487966,60.89320868
40,0.8,2.11113986,2.04774297,2.86913088,-4.32219465,2.04774297,-2.11113986,-4.32219465,-2.86913088,-2.11113986,-2.04774297,-2.86913088,4.32219465,-2.04774297,2.11113986,4.32219465,2.86913088,53.82655715,7.06665511,60.89321226
41,0.82,2.16939381,1.96212481,2.95713729,-4.2397685,1.96212481,-2.16939381,-4.2397685,-2.95713729,-2.16939381,-1.96212481,-2.95713729,4.2397685,-1.96212481,2.16939381,4.2397685,2.95713729,53.44059581,7.45261913,60.89321495
42,0.84,2.22945725,1.87814276,3.04993557,-4.15876358,1.87814276,-2.22945725,-4.15876358,-3.04993557,-2.22945725,-1.87814276,-3.04993557,4.15876358,-1.87814276,2.22945725,4.15876358,3.04993557,53.19484292,7.69837374,60.89321665
43,0.86,2.29141702,1.79575797,3.14660776,-4.08020624,1.79575797,-2.29141702,-4.08020624,-3.14660776,-2.29141702,-1.79575797,-3.14660776,4.08020624,-1.79575797,2.29141702,4.08020624,3.14660776,53.0984468,7.79477052,60.89321732
44,0.88,2.3553405,1.71491207,3.2461244,-4.00501842,1.71491207,-2.3553405,-4.00501842,-3.2461244,-2.3553405,-1.71491207,-3.2461244,4.00501842,-1.71491207,2.3553405,4.00501842,3.2461244,53.15499233,7.7382246,60.89321693
45,0.9,2.42127344,1.63552946,3.34735944,-3.93400219,1.63552946,-2.42127344,-3.93400219,-3.34735944,-2.42127344,-1.63552946,-3.34735944,3.93400219,-1.63552946,2.42127344,3.93400219,3.34735944,53.36237687,7.53083862,60.89321549
46,0.92,2.4892383,1.55751976,3.44910821,-3.86782809,1.55751976,-2.4892383,-3.86782809,-3.44910821,-2.4892383,-1.55751976,-3.44910821,3.86782809,-1.55751976,2.4892383,3.86782809,3.44910821,53.7128831,7.18032995,60.89321305
47,0.94,2.5592328,1.48078057,3.55010756,-3.80702753,1.48078057,-2.5592328,-3.80702753,-3.55010756,-2.5592328,-1.48078057,-3.55010756,3.80702753,-1.48078057,2.5592328,3.80702753,3.55010756,54.19344456,6.69976514,60.8932097
48,0.96,2.63122898,1.4052003,3.64905734,-3.75198951,1.4052003,-2.63122898,-3.75198951,-3.64905734,-2.63122898,-1.4052003,-3.64905734,3.75198951,-1.4052003,2.63122898,3.75198951,3.64905734,54.78608946,6.10711608,60.89320554
49,0.98,2.70517271,1.33066099,3.74464216,-3.70296163,1.33066099,-2.70517271,-3.70296163,-3.74464216,-2.70517271,-1.33066099,-3.74464216,3.70296163,-1.33066099,2.70517271,3.70296163,3.74464216,55.46853944,5.42466126,60.89320071
50,1.0,2.78098358,1.2570411,3.83555273,-3.6600549,1.2570411,-2.78098358,-3.6600549,-3.83555273,-2.78098358,-1.2570411,-3.83555273,3.6600549,-1.2570411,2.78098358,3.6600549,3.83555273,56.21493322,4.67826212,60.89319535
51,1.02,2.85855519,1.18421818,3.9205058,-3.62325198,1.18421818,-2.85855519,-3.62325198,-3.9205058,-2.85855519,-1.18421818,-3.9205058,3.62325198,-1.18421818,2.85855519,3.62325198,3.9205058,56.99664127,3.89654835,60.89318962
52,1.04,2.93775594,1.11207131,3.9982623,-3.59241797,1.11207131,-2.93775594,-3.59241797,-3.9982623,-2.93775594,-1.11207131,-3.9982623,3.59241797,-1.11207131,2.93775594,3.59241797,3.9982623,57.78313658,3.11004712,60.89318369
53,1.06,3.01842997,1.04048334,4.06764309,-3.56731322,1.04048334,-3.01842997,-3.56731322,-4.06764309,-3.01842997,-1.04048334,-4.06764309,3.56731322,-1.04048334,3.01842997,3.56731322,4.06764309,58.54288782,2.3502899,60.89317772
54,1.08,3.10039859,0.96934286,4.12754229,-3.5476072,0.96934286,-3.10039859,-3.5476072,-4.12754229,-3.10039859,-0.96934286,-4.12754229,3.5476072,-0.96934286,3.10039859,3.5476072,4.12754229,59.2442444,1.64892745,60.89317185
55,1.1,3.18346179,0.89854584,4.17693799,-3.53289295,0.89854584,-3.18346179,-3.53289295,-4.17693799,-3.18346179,-0.89854584,-4.17693799,3.53289295,-0.89854584,3.18346179,3.53289295,4.17693799,59.85628715,1.03687907,60.89316622
56,1.12,3.26740006,0.82799705,4.21490053,-3.52270141,0.82799705,-3.26740006,-3.52270141,-4.21490053,-3.26740006,-0.82799705,-4.21490053,3.52270141,-0.82799705,3.26740006,3.52270141,4.21490053,60.34962338,0.54353759,60.89316097
57,1.14,3.35197623,0.75761114,4.24059852,-3.51651518,0.75761114,-3.35197623,-3.51651518,-4.24059852,-3.35197623,-0.75761114,-4.24059852,3.51651518,-0.75761114,3.35197623,3.51651518,4.24059852,60.6971097,0.19604649,60.89315619
58,1.16,3.43693757,0.68731348,4.25330283,-3.5137815,0.68731348,-3.43693757,-3.5137815,-4.25330283,-3.43693757,-0.68731348,-4.25330283,3.5137815,-0.68731348,3.43693757,3.5137815,4.25330283,60.87449074,0.01866126,60.893152
59,1.18,3.52201776,0.61704075,4.25238883,-3.51392402,0.61704075,-3.52201776,-3.51392402,-4.25238883,-3.52201776,-0.61704075,-4.25238883,3.51392402,-0.61704075,3.52201776,3.51392402,4.25238883,60.86094549,0.03220296,60.89314845
60,1.2,3.60693908,0.54674131,4.23733723,-3.51635345,0.54674131,-3.60693908,-3.51635345,-4.23733723,-3.60693908,-0.54674131,-4.23733723,3.51635345,-0.54674131,3.60693908,3.51635345,4.23733723,60.63953671,0.2536089,60.89314561
61,1.22,3.69141446,0.47637535,4.20773368,-3.52047692,0.47637535,-3.69141446,-3.52047692,-4.20773368,-3.69141446,-0.47637535,-4.20773368,3.52047692,-0.47637535,3.69141446,3.52047692,4.20773368,60.1975609,0.69558263,60.89314353
62,1.24,3.77514957,0.40591489,4.16326749,-3.52570607,0.40591489,-3.77514957,-3.52570607,-4.16326749,-3.77514957,-0.40591489,-4.16326749,3.52570607,-0.40591489,3.77514957,3.52570607,4.16326749,59.52679902,1.36634321,60.89314223
63,1.26,3.85784491,0.3353436,4.10372956,-3.53146404,0.3353436,-3.85784491,-3.53146404,-4.10372956,-3.85784491,-0.3353436,-4.10372956,3.53146404,-0.3353436,3.85784491,3.53146404,4.10372956,58.62366924,2.26947246,60.89314171
64,1.28,3.93919777,0.26465653,4.02900977,-3.53719134,0.26465653,-3.93919777,-3.53719134,-4.02900977,-3.93919777,-0.26465653,-4.02900977,3.53719134,-0.26465653,3.93919777,3.53719134,4.02900977,57.48928466,3.40385731,60.89314197
65,1.3,4.01890422,0.19385972,3.93909394,-3.54235074,0.19385972,-4.01890422,-3.54235074,-3.93909394,-4.01890422,-0.19385972,-3.93909394,3.54235074,-0.19385972,4.01890422,3.54235074,3.93909394,56.12941964,4.76372334,60.89314298
66,1.32,4.09666098,0.12296968,3.83406048,-3.54643132,0.12296968,-4.09666098,-3.54643132,-3.83406048,-4.09666098,-0.12296968,-3.83406048,3.54643132,-0.12296968,4.09666098,3.54643132,3.83406048,54.5543897,6.33875503,60.89314473
67,1.34,4.1721672,0.05201285,3.71407677,-3.54895179,0.05201285,-4.1721672,-3.54895179,-3.71407677,-4.1721672,-0.05201285,-3.71407677,3.54895179,-0.05201285,4.1721672,3.54895179,3.71407677,52.77885008,8.11429707,60.89314716
68,1.36,4.24512629,-0.01897502,3.57939541,-3.54946309,-0.01897502,-4.24512629,-3.54946309,-3.57939541,-4.24512629,0.01897502,-3.57939541,3.54946309,0.01897502,4.24512629,3.54946309,3.57939541,50.8215195,10.07163071,60.89315021
69,1.38,4.31524748,-0.08994954,3.43035029,-3.54755052,-0.08994954,-4.31524748,-3.54755052,-3.43035029,-4.31524748,0.08994954,-3.43035029,3.54755052,0.08994954,4.31524748,3.54755052,3.43035029,48.7048355,12.18831831,60.89315382
70,1.4,4.3822475,-0.16085839,3.26735255,-3.54283529,-0.16085839,-4.3822475,-3.54283529,-3.26735255,-4.3822475,0.16085839,-3.26735255,3.54283529,0.16085839,4.3822475,3.54283529,3.26735255,46.45454908,14.43860883,60.89315791
71,1.42,4.44585201,-0.23164204,3.09088648,-3.5349758,-0.23164204,-4.44585201,-3.5349758,-3.09088648,-4.44585201,0.23164204,-3.09088648,3.5349758,0.23164204,4.44585201,3.5349758,3.09088648,44.09926627,16.79389613,60.8931624
72,1.44,4.50579706,-0.30223449,2.90150534,-3.52366846,-0.30223449,-4.50579706,-3.52366846,-2.90150534,-4.50579706,0.30223449,-2.90150534,3.52366846,0.30223449,4.50579706,3.52366846,2.90150534,41.66994525,19.22322197,60.89316722
73,1.46,4.56183043,-0.37256408,2.69982702,-3.5086483,-0.37256408,-4.56183043,-3.5086483,-2.69982702,-4.56183043,0.37256408,-2.69982702,3.5086483,0.37256408,4.56183043,3.5086483,2.69982702,39.19935765,21.69381461,60.89317226
74,1.48,4.61371286,-0.44255422,2.48652981,-3.48968927,-0.44255422,-4.61371286,-3.48968927,-2.48652981,-4.61371286,0.44255422,-2.48652981,3.48968927,0.44255422,4.61371286,3.48968927,2.48652981,36.72152335,24.17165408,60.89317743
75,1.5,4.66121923,-0.5121242,2.26234788,-3.4666044,-0.5121242,-4.66121923,-3.4666044,-2.26234788,-4.66121923,0.5121242,-2.26234788,3.4666044,0.5121242,4.66121923,3.4666044,2.26234788,34.27112804,26.62205459,60.89318264
76,1.52,4.70413961,-0.58118996,2.02806688,-3.43924574,-0.58118996,-4.70413961,-3.43924574,-2.02806688,-4.70413961,0.58118996,-2.02806688,3.43924574,0.58118996,4.70413961,3.43924574,2.02806688,31.88293314,29.01025465,60.89318779
77,1.54,4.74228027,-0.64966488,1.78451939,-3.40750412,-0.64966488,-4.74228027,-3.40750412,-1.78451939,-4.74228027,0.64966488,-1.78451939,3.40750412,0.64966488,4.74228027,3.40750412,1.78451939,29.59118759,31.30200521,60.8931928
78,1.56,4.77546457,-0.7174605,1.53258028,-3.37130882,-0.7174605,-4.77546457,-3.37130882,-1.53258028,-4.77546457,0.7174605,-1.53258028,3.37130882,0.7174605,4.77546457,3.37130882,1.53258028,27.42905094,33.46414663,60.89319757
